file_path,class
../data/GunshotOnlyDatabase/AK-12\3 (69).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (7).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (70).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (71).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (72).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (73).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (74).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (75).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (76).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (77).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (78).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (79).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (8).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (80).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (81).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (82).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (83).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (84).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (85).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (86).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (87).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (88).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (89).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (9).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (90).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (91).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (92).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (93).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (94).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (95).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (96).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (97).wav,1
../data/GunshotOnlyDatabase/AK-12\3 (98).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (1).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (10).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (11).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (12).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (13).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (14).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (15).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (16).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (17).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (18).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (19).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (2).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (20).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (21).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (22).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (23).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (24).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (25).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (26).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (27).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (28).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (29).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (3).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (30).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (31).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (32).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (33).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (34).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (35).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (36).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (37).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (38).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (39).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (4).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (40).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (41).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (42).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (43).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (44).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (45).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (46).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (47).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (48).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (49).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (5).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (50).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (51).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (52).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (53).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (54).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (55).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (56).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (57).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (58).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (59).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (6).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (60).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (61).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (62).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (63).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (64).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (65).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (66).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (67).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (68).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (69).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (7).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (70).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (71).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (72).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (8).wav,1
../data/GunshotOnlyDatabase/AK-47\1 (9).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (1).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (10).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (100).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (11).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (12).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (13).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (14).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (15).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (16).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (17).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (18).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (19).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (2).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (20).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (21).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (22).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (23).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (24).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (25).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (26).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (27).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (28).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (29).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (3).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (30).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (31).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (32).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (33).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (34).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (35).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (36).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (37).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (38).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (39).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (4).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (40).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (41).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (42).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (43).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (44).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (45).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (46).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (47).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (48).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (49).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (5).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (50).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (51).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (52).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (53).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (54).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (55).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (56).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (57).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (58).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (59).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (6).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (60).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (61).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (62).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (63).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (64).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (65).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (66).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (67).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (68).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (69).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (7).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (70).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (71).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (72).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (73).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (74).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (75).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (76).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (77).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (78).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (79).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (8).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (80).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (81).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (82).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (83).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (84).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (85).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (86).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (87).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (88).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (89).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (9).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (90).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (91).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (92).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (93).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (94).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (95).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (96).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (97).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (98).wav,1
../data/GunshotOnlyDatabase/IMI Desert Eagle\2 (99).wav,1
../data/GunshotOnlyDatabase/M16\5 (1).wav,1
../data/GunshotOnlyDatabase/M16\5 (10).wav,1
../data/GunshotOnlyDatabase/M16\5 (100).wav,1
../data/GunshotOnlyDatabase/M16\5 (11).wav,1
../data/GunshotOnlyDatabase/M16\5 (12).wav,1
../data/GunshotOnlyDatabase/M16\5 (13).wav,1
../data/GunshotOnlyDatabase/M16\5 (14).wav,1
../data/GunshotOnlyDatabase/M16\5 (15).wav,1
../data/GunshotOnlyDatabase/M16\5 (16).wav,1
../data/GunshotOnlyDatabase/M16\5 (17).wav,1
../data/GunshotOnlyDatabase/M16\5 (18).wav,1
../data/GunshotOnlyDatabase/M16\5 (19).wav,1
../data/GunshotOnlyDatabase/M16\5 (2).wav,1
../data/GunshotOnlyDatabase/M16\5 (20).wav,1
../data/GunshotOnlyDatabase/M16\5 (21).wav,1
../data/GunshotOnlyDatabase/M16\5 (22).wav,1
../data/GunshotOnlyDatabase/M16\5 (23).wav,1
../data/GunshotOnlyDatabase/M16\5 (24).wav,1
../data/GunshotOnlyDatabase/M16\5 (25).wav,1
../data/GunshotOnlyDatabase/M16\5 (26).wav,1
../data/GunshotOnlyDatabase/M16\5 (27).wav,1
../data/GunshotOnlyDatabase/M16\5 (28).wav,1
../data/GunshotOnlyDatabase/M16\5 (29).wav,1
../data/GunshotOnlyDatabase/M16\5 (3).wav,1
../data/GunshotOnlyDatabase/M16\5 (30).wav,1
../data/GunshotOnlyDatabase/M16\5 (31).wav,1
../data/GunshotOnlyDatabase/M16\5 (32).wav,1
../data/GunshotOnlyDatabase/M16\5 (33).wav,1
../data/GunshotOnlyDatabase/M16\5 (34).wav,1
../data/GunshotOnlyDatabase/M16\5 (35).wav,1
../data/GunshotOnlyDatabase/M16\5 (36).wav,1
../data/GunshotOnlyDatabase/M16\5 (37).wav,1
../data/GunshotOnlyDatabase/M16\5 (38).wav,1
../data/GunshotOnlyDatabase/M16\5 (39).wav,1
../data/GunshotOnlyDatabase/M16\5 (4).wav,1
../data/GunshotOnlyDatabase/M16\5 (40).wav,1
../data/GunshotOnlyDatabase/M16\5 (41).wav,1
../data/GunshotOnlyDatabase/M16\5 (42).wav,1
../data/GunshotOnlyDatabase/M16\5 (43).wav,1
../data/GunshotOnlyDatabase/M16\5 (44).wav,1
../data/GunshotOnlyDatabase/M16\5 (45).wav,1
../data/GunshotOnlyDatabase/M16\5 (46).wav,1
../data/GunshotOnlyDatabase/M16\5 (47).wav,1
../data/GunshotOnlyDatabase/M16\5 (48).wav,1
../data/GunshotOnlyDatabase/M16\5 (49).wav,1
../data/GunshotOnlyDatabase/M16\5 (5).wav,1
../data/GunshotOnlyDatabase/M16\5 (50).wav,1
../data/GunshotOnlyDatabase/M16\5 (51).wav,1
../data/GunshotOnlyDatabase/M16\5 (52).wav,1
../data/GunshotOnlyDatabase/M16\5 (53).wav,1
../data/GunshotOnlyDatabase/M16\5 (54).wav,1
../data/GunshotOnlyDatabase/M16\5 (55).wav,1
../data/GunshotOnlyDatabase/M16\5 (56).wav,1
../data/GunshotOnlyDatabase/M16\5 (57).wav,1
../data/GunshotOnlyDatabase/M16\5 (58).wav,1
../data/GunshotOnlyDatabase/M16\5 (59).wav,1
../data/GunshotOnlyDatabase/M16\5 (6).wav,1
../data/GunshotOnlyDatabase/M16\5 (60).wav,1
../data/GunshotOnlyDatabase/M16\5 (61).wav,1
../data/GunshotOnlyDatabase/M16\5 (62).wav,1
../data/GunshotOnlyDatabase/M16\5 (63).wav,1
../data/GunshotOnlyDatabase/M16\5 (64).wav,1
../data/GunshotOnlyDatabase/M16\5 (65).wav,1
../data/GunshotOnlyDatabase/M16\5 (66).wav,1
../data/GunshotOnlyDatabase/M16\5 (67).wav,1
../data/GunshotOnlyDatabase/M16\5 (68).wav,1
../data/GunshotOnlyDatabase/M16\5 (69).wav,1
../data/GunshotOnlyDatabase/M16\5 (7).wav,1
../data/GunshotOnlyDatabase/M16\5 (70).wav,1
../data/GunshotOnlyDatabase/M16\5 (71).wav,1
../data/GunshotOnlyDatabase/M16\5 (72).wav,1
../data/GunshotOnlyDatabase/M16\5 (73).wav,1
../data/GunshotOnlyDatabase/M16\5 (74).wav,1
../data/GunshotOnlyDatabase/M16\5 (75).wav,1
../data/GunshotOnlyDatabase/M16\5 (76).wav,1
../data/GunshotOnlyDatabase/M16\5 (77).wav,1
../data/GunshotOnlyDatabase/M16\5 (78).wav,1
../data/GunshotOnlyDatabase/M16\5 (79).wav,1
../data/GunshotOnlyDatabase/M16\5 (8).wav,1
../data/GunshotOnlyDatabase/M16\5 (80).wav,1
../data/GunshotOnlyDatabase/M16\5 (81).wav,1
../data/GunshotOnlyDatabase/M16\5 (82).wav,1
../data/GunshotOnlyDatabase/M16\5 (83).wav,1
../data/GunshotOnlyDatabase/M16\5 (84).wav,1
../data/GunshotOnlyDatabase/M16\5 (85).wav,1
../data/GunshotOnlyDatabase/M16\5 (86).wav,1
../data/GunshotOnlyDatabase/M16\5 (87).wav,1
../data/GunshotOnlyDatabase/M16\5 (88).wav,1
../data/GunshotOnlyDatabase/M16\5 (89).wav,1
../data/GunshotOnlyDatabase/M16\5 (9).wav,1
../data/GunshotOnlyDatabase/M16\5 (90).wav,1
../data/GunshotOnlyDatabase/M16\5 (91).wav,1
../data/GunshotOnlyDatabase/M16\5 (92).wav,1
../data/GunshotOnlyDatabase/M16\5 (93).wav,1
../data/GunshotOnlyDatabase/M16\5 (94).wav,1
../data/GunshotOnlyDatabase/M16\5 (95).wav,1
../data/GunshotOnlyDatabase/M16\5 (96).wav,1
../data/GunshotOnlyDatabase/M16\5 (97).wav,1
../data/GunshotOnlyDatabase/M16\5 (98).wav,1
../data/GunshotOnlyDatabase/M16\5 (99).wav,1
../data/GunshotOnlyDatabase/M249\6 (1).wav,1
../data/GunshotOnlyDatabase/M249\6 (10).wav,1
../data/GunshotOnlyDatabase/M249\6 (11).wav,1
../data/GunshotOnlyDatabase/M249\6 (12).wav,1
../data/GunshotOnlyDatabase/M249\6 (13).wav,1
../data/GunshotOnlyDatabase/M249\6 (14).wav,1
../data/GunshotOnlyDatabase/M249\6 (15).wav,1
../data/GunshotOnlyDatabase/M249\6 (16).wav,1
../data/GunshotOnlyDatabase/M249\6 (17).wav,1
../data/GunshotOnlyDatabase/M249\6 (18).wav,1
../data/GunshotOnlyDatabase/M249\6 (19).wav,1
../data/GunshotOnlyDatabase/M249\6 (2).wav,1
../data/GunshotOnlyDatabase/M249\6 (20).wav,1
../data/GunshotOnlyDatabase/M249\6 (21).wav,1
../data/GunshotOnlyDatabase/M249\6 (22).wav,1
../data/GunshotOnlyDatabase/M249\6 (23).wav,1
../data/GunshotOnlyDatabase/M249\6 (24).wav,1
../data/GunshotOnlyDatabase/M249\6 (25).wav,1
../data/GunshotOnlyDatabase/M249\6 (26).wav,1
../data/GunshotOnlyDatabase/M249\6 (27).wav,1
../data/GunshotOnlyDatabase/M249\6 (28).wav,1
../data/GunshotOnlyDatabase/M249\6 (29).wav,1
../data/GunshotOnlyDatabase/M249\6 (3).wav,1
../data/GunshotOnlyDatabase/M249\6 (30).wav,1
../data/GunshotOnlyDatabase/M249\6 (31).wav,1
../data/GunshotOnlyDatabase/M249\6 (32).wav,1
../data/GunshotOnlyDatabase/M249\6 (33).wav,1
../data/GunshotOnlyDatabase/M249\6 (34).wav,1
../data/GunshotOnlyDatabase/M249\6 (35).wav,1
../data/GunshotOnlyDatabase/M249\6 (36).wav,1
../data/GunshotOnlyDatabase/M249\6 (37).wav,1
../data/GunshotOnlyDatabase/M249\6 (38).wav,1
../data/GunshotOnlyDatabase/M249\6 (39).wav,1
../data/GunshotOnlyDatabase/M249\6 (4).wav,1
../data/GunshotOnlyDatabase/M249\6 (40).wav,1
../data/GunshotOnlyDatabase/M249\6 (41).wav,1
../data/GunshotOnlyDatabase/M249\6 (42).wav,1
../data/GunshotOnlyDatabase/M249\6 (43).wav,1
../data/GunshotOnlyDatabase/M249\6 (44).wav,1
../data/GunshotOnlyDatabase/M249\6 (45).wav,1
../data/GunshotOnlyDatabase/M249\6 (46).wav,1
../data/GunshotOnlyDatabase/M249\6 (47).wav,1
../data/GunshotOnlyDatabase/M249\6 (48).wav,1
../data/GunshotOnlyDatabase/M249\6 (49).wav,1
../data/GunshotOnlyDatabase/M249\6 (5).wav,1
../data/GunshotOnlyDatabase/M249\6 (50).wav,1
../data/GunshotOnlyDatabase/M249\6 (51).wav,1
../data/GunshotOnlyDatabase/M249\6 (52).wav,1
../data/GunshotOnlyDatabase/M249\6 (53).wav,1
../data/GunshotOnlyDatabase/M249\6 (54).wav,1
../data/GunshotOnlyDatabase/M249\6 (55).wav,1
../data/GunshotOnlyDatabase/M249\6 (56).wav,1
../data/GunshotOnlyDatabase/M249\6 (57).wav,1
../data/GunshotOnlyDatabase/M249\6 (58).wav,1
../data/GunshotOnlyDatabase/M249\6 (59).wav,1
../data/GunshotOnlyDatabase/M249\6 (6).wav,1
../data/GunshotOnlyDatabase/M249\6 (60).wav,1
../data/GunshotOnlyDatabase/M249\6 (61).wav,1
../data/GunshotOnlyDatabase/M249\6 (62).wav,1
../data/GunshotOnlyDatabase/M249\6 (63).wav,1
../data/GunshotOnlyDatabase/M249\6 (64).wav,1
../data/GunshotOnlyDatabase/M249\6 (65).wav,1
../data/GunshotOnlyDatabase/M249\6 (66).wav,1
../data/GunshotOnlyDatabase/M249\6 (67).wav,1
../data/GunshotOnlyDatabase/M249\6 (68).wav,1
../data/GunshotOnlyDatabase/M249\6 (69).wav,1
../data/GunshotOnlyDatabase/M249\6 (7).wav,1
../data/GunshotOnlyDatabase/M249\6 (70).wav,1
../data/GunshotOnlyDatabase/M249\6 (71).wav,1
../data/GunshotOnlyDatabase/M249\6 (72).wav,1
../data/GunshotOnlyDatabase/M249\6 (73).wav,1
../data/GunshotOnlyDatabase/M249\6 (74).wav,1
../data/GunshotOnlyDatabase/M249\6 (75).wav,1
